4 32 12 16	0.006093389834717648 0.09465317919075145
4 32 12 17	0.0034913912626988327 0.02565028901734104
4 32 12 30	0.002524271097480731 0.040823699421965315
4 32 12 32	0.0005315269763973524 0.036127167630057806
4 32 12 36	0.006459627438404958 0.11271676300578035
4 32 12 37	0.011543926409927383 0.06358381502890173
4 32 13	0.07963540417366274 0.08020231213872832
4 32 14	0.008641360901235127 0.03106936416184971
4 32 14 12	0.0024673472621499874 0.011199421965317919
4 32 14 14	0.007122241876920212 0.015534682080924855
4 32 14 30	0.0008508658978620576 0.013367052023121388
4 32 14 32	0.00040641113566511724 0.010476878612716763
4 32 14 37	0.009421134421134422 0.01625722543352601
4 32 15 12	0.006810914074504755 0.029624277456647398
4 32 16	0.0045654082528533806 0.004335260115606936
4 32 16 13	0.03151618398637138 0.009031791907514452
4 32 16 16	0.0054901266271141416 0.01083815028901734
4 32 16 36	0.004039772031719692 0.019508670520231215
4 32 17 16	0.0032640949554896144 0.002890173410404624
4 32 18 12	0.003657272127438967 0.02781791907514451
4 32 25 5	0.0008481764206955047 0.0018063583815028901
4 32 25 10	0.006618407445708376 0.01625722543352601
4 32 25 13	0.025336927223719677 0.02348265895953757
4 32 27 12	0.01627296587926509 0.04190751445086705
4 32 27 14	0.004660621981188035 0.011560693641618497
4 32 28 10	0.00551515646703162 0.016979768786127166
4 32 29 4	0.02146825396825397 0.02745664739884393
4 32 31 10	0.006349360217138425 0.04299132947976879
4 32 31 13	0.03745578575037898 0.07586705202312138
4 32 31 14	0.004930662557781202 0.028179190751445087
4 32 32 10	0.0040384615384615385 0.006864161849710983
4 32 32 12	0.004672644283678219 0.019147398843930637
4 32 33 4	0.01727684080625257 0.006864161849710983
4 32 34 4	0.008642121463241387 0.019869942196531792
4 32 34 13	0.016550699182598123 0.05960982658959538
4 32 35 13	0.04060684312459652 0.085621387283237
4 32 36 12	0.006464264962231261 0.024205202312138727
4 32 36 13	0.023377594913035347 0.024927745664739886
4 32 37 13	0.03683241252302026 0.013728323699421965
4 33 4	0.1411214953271028 0.06466763005780347
4 33 4 16	0.010184845146284736 0.04407514450867052
4 33 4 32	0.0008729086563441754 0.010115606936416185
4 33 4 36	0.01712094233666621 0.039378612716763
4 33 5	0.03737319807794982 0.02023121387283237
4 33 7 4	0.14249345620136972 0.06466763005780347
4 33 7 8	0.017171966149042806 0.011560693641618497
4 33 7 9	0.019765955354508803 0.007947976878612716
4 33 7 13	0.17140944863717142 0.20158959537572255
4 33 7 14	0.06939380127620784 0.05997109826589595
4 33 9	0.007194244604316547 0.0072254335260115606
4 33 9 13	0.05586834127327848 0.03143063583815029
4 33 9 14	0.015902043412578518 0.028179190751445087
4 33 10	0.028405017921146955 0.04804913294797688
4 33 10 16	0.014053023197648971 0.059248554913294796
4 33 10 30	0.0003345109953305931 0.014089595375722543
4 33 10 37	0.015364916773367477 0.020953757225433526
4 33 11 13	0.027418126428027417 0.019147398843930637
4 33 12	0.0297558494404883 0.029985549132947976
4 33 12 16	0.012116892373485389 0.017341040462427744
4 33 12 17	0.011085450346420323 0.004335260115606936
4 33 12 36	0.013855497912185245 0.041184971098265896
4 33 13	0.16478610276808184 0.22651734104046242
4 33 13 16	0.01577537818106221 0.08742774566473989
4 33 13 17	0.01739366025467353 0.035765895953757225
4 33 13 30	0.0017337031900138697 0.015534682080924855
4 33 13 32	0.0004915950895112726 0.008309248554913294
4 33 13 37	0.027078026228889517 0.04010115606936416
4 33 14	0.04461053369146327 0.049132947976878616
4 33 14 16	0.014205306888233718 0.04407514450867052
4 33 14 17	0.011272141706924315 0.008309248554913294
4 33 15 14	0.019349164467897976 0.037210982658959536
4 33 16 13	0.09519184069936863 0.05491329479768786
4 33 17 4	0.14993804213135067 0.014089595375722543
4 33 27 4	0.13566379732661488 0.06394508670520231
4 33 27 9	0.019054759004154563 0.007947976878612716
4 33 27 12	0.03075768942235559 0.009754335260115607
4 33 27 13	0.15051221434200157 0.20158959537572255
4 33 27 14	0.05511166253101737 0.05744219653179191
4 33 35 13	0.09084264383418607 0.09934971098265896
4 33 36 4	0.10641200545702592 0.024566473988439308
4 33 36 13	0.0837742504409171 0.05960982658959538
4 33 37 4	0.12387387387387387 0.015534682080924855
4 33 37 13	0.07744488411531938 0.029985549132947976
4 34 4	0.08657327246969936 0.054190751445086706
4 34 4 16	0.011223702758052076 0.0476878612716763
4 34 5	0.034869494290375204 0.026372832369942197
4 34 7 4	0.1248537301569779 0.059248554913294796
4 34 7 5	0.05375854214123007 0.024566473988439308
4 34 7 13	0.15006859158609878 0.17702312138728324
4 34 8	0.01907247540654487 0.012283236994219654
4 34 9	0.00968837395125849 0.00939306358381503
4 34 9 14	0.013814274750575594 0.03395953757225433
4 34 10	0.023756495916852263 0.055274566473988436
4 34 10 16	0.017420123010185123 0.06900289017341041
4 34 10 36	0.01660077456833952 0.06466763005780347
4 34 11 12	0.008149639157543326 0.02781791907514451
4 34 12	0.011589490796580839 0.04154624277456647
4 34 12 32	0.0005995167408973713 0.027095375722543353
4 34 13	0.13108700669282253 0.19111271676300579
4 34 13 17	0.01630880183576463 0.03106936416184971
4 34 13 37	0.022271102557052516 0.02781791907514451
4 34 14	0.0482072310846627 0.0773121387283237
4 34 14 16	0.011764611082908277 0.06900289017341041
4 34 14 30	0.0016777524611546184 0.025289017341040464
4 34 15 4	0.04974465670512578 0.03757225433526012
4 34 15 10	0.01421467235840338 0.045158959537572256
4 34 15 13	0.07191358024691358 0.09718208092485549
4 34 16 10	0.020373291272344902 0.02384393063583815
4 34 17 13	0.08731241473396999 0.026372832369942197
4 34 25 4	0.036693704132869834 0.019869942196531792
4 34 25 10	0.009705596894208994 0.015534682080924855
4 34 25 12	0.010122448979591837 0.015173410404624277
4 34 27 4	0.1264655809321898 0.05455202312138728
